"","dimension","side_length","estimated_clusters","true_clusters"
"1",6,10,6,6
"2",6,9,6,6
"3",6,8,6,6
"4",6,7,6,6
"5",6,6,6,6
"6",6,5,6,6
"7",6,4,6,6
"8",6,3,1,6
"9",6,2,1,6
"10",6,1,1,6
"11",5,10,5,5
"12",5,9,5,5
"13",5,8,5,5
"14",5,7,5,5
"15",5,6,5,5
"16",5,5,5,5
"17",5,4,5,5
"18",5,3,1,5
"19",5,2,1,5
"20",5,1,1,5
"21",4,10,4,4
"22",4,9,4,4
"23",4,8,4,4
"24",4,7,4,4
"25",4,6,4,4
"26",4,5,4,4
"27",4,4,4,4
"28",4,3,4,4
"29",4,2,1,4
"30",4,1,1,4
"31",3,10,3,3
"32",3,9,3,3
"33",3,8,3,3
"34",3,7,3,3
"35",3,6,3,3
"36",3,5,3,3
"37",3,4,3,3
"38",3,3,3,3
"39",3,2,1,3
"40",3,1,1,3
"41",2,10,2,2
"42",2,9,2,2
"43",2,8,2,2
"44",2,7,2,2
"45",2,6,2,2
"46",2,5,2,2
"47",2,4,2,2
"48",2,3,2,2
"49",2,2,2,2
"50",2,1,1,2
